q	そ
w	こ
e	し
r	て
y	つ
u	ん
i	い
o	の
p	り
@	ち
[	「
a	は
s	か
f	と
g	た
h	く
j	う
;	き
:	れ
]	」
z	す
x	け
c	に
v	な
b	さ
n	っ
m	る
,	、
.	。
\	・
dy	ぬ
du	え
di	み
do	や
dp	ちょ
d@	じぇ
d[	ぇ
ds	ふぁ
df	しょ
dh	ま
dj	お
dk	も
dl	わ
d;	ゆ
d:	きょ
d]	みゃ
dn	む
dm	ろ
d,	ね
d.	ー
d/	ぃ
d\	ぉ
ty	ぺ
tu	づ
ti	てぃ
to	しゃ
tp	ちぇ
t@	ひゃ
t[	ゃ
th	ぱ
tj	ぼ
tk	じゅ
tl	きゅ
t;	びゅ
t:	しぇ
t]	ょ
tn	じゃ
tm	ちゃ
t,	きゃ
t.	ひょ
t/	びょ
t\	ゅ
kq	ぞ
kw	ひ
ke	ほ
kr	が
kt	め
ka	ど
ks	を
kd	ら
kf	あ
kg	よ
kj	しゅ
kz	ぎょ
kx	へ
kc	せ
kv	ふ
kb	ざ
lq	び
lw	ご
le	じ
lr	ぎ
lt	ぜ
la	りょ
ls	げ
ld	で
lf	ば
lg	だ
lh	ぴょ
lj	ぐ
lk	じょ
lz	でぃ
lx	ぷ
lc	ず
lv	ぶ
lb	べ
ln	ぎゅ
/q	にゃ
/w	りゃ
/e	ふぃ
/r	ぢ
/t	ぁ
/y	うぃ
/u	うぉ
/a	ヴ
/s	ぽ
/d	びゃ
/f	ぴ
/g	ぎゃ
/h	うぇ
/j	ふぇ
/k	ふぉ
/l	ちゅ
/z	にゅ
/x	にょ
/c	みょ
/v	りゅ
/b	みゅ
/n	ぴゅ
/m	ぅ
